scenario,algorithm,trip_count,vehicle_count,completion_rate,total_charging_cost,average_wait_time_min,max_wait_time_min,charging_event_count,total_charged_energy_kwh,total_charging_co2_kg,min_final_soc,runtime_seconds
current,JSQ,1713,150,1.0,0.0,0.0,0.0,0,0.0,0.0,0.3241627174697312,0.1753067090176046
current,GA,1713,150,1.0,0.0,0.0,0.0,0,0.0,0.0,0.3241627174697312,3.3815162079408765
planned,JSQ,9717,750,1.0,119652.3695373308,0.0,0.0,520,100314.80337406007,55173.14185573304,0.3003205834907698,0.9718458750285208
planned,GA,9717,750,1.0,59937.060120202295,0.0,0.0,465,50506.756617770545,27778.716139773802,0.22010972097233533,18.43291704216972
full,JSQ,77120,5870,1.0,1582114.165498127,11.499196279315823,92.88287007384724,7152,1376602.5169223857,757131.3843073122,0.3000109983789996,46.08185745915398
full,GA,77120,5870,1.0,1016219.4863229931,2.9319695324416815,51.39232455917613,7779,850705.1822177998,467887.85021978995,0.2200100285626328,1353.80217408319
